,idx,lat,long
0,0,49.7996,22.95196
1,1,49.79958,22.95301
2,2,49.79967,22.95369
3,3,49.79961,22.95467
4,4,49.79953,22.95519
5,5,49.79934,22.95632
6,6,49.7987,22.95963
7,7,49.30653,22.96095
8,8,49.30792,22.96104
9,9,49.30538,22.96106
10,10,49.31045,22.96114
11,11,49.31263,22.96123
12,12,49.31574,22.96146
13,13,49.30337,22.9617
14,14,49.31873,22.96171
15,15,49.31918,22.96199
16,16,49.30272,22.96215
17,17,49.30212,22.96286
18,18,49.30166,22.96389
19,19,49.79883,22.96405
20,20,49.32112,22.96442
21,21,49.30112,22.96538
22,22,49.48904,22.96613
23,23,49.79895,22.96642
24,24,49.3006,22.96653
25,25,49.32282,22.96663
26,26,49.30024,22.96707
27,27,49.48932,22.96713
28,28,49.48923,22.96743
29,29,49.3233,22.96759
30,30,49.28719,22.96761
31,31,49.79915,22.96778
32,32,49.28678,22.96786
33,33,49.4861,22.96872
34,34,49.29843,22.96872
35,35,49.29226,22.96902
36,36,49.79978,22.96968
37,37,49.29696,22.96992
38,38,49.29575,22.9701
39,39,49.28507,22.97034
40,40,49.4805,22.97063
41,41,49.48013,22.97074
42,42,49.80018,22.97092
43,43,49.4851,22.97113
44,44,49.3252,22.97118
45,45,49.48484,22.97147
46,46,49.48455,22.97151
47,47,49.80047,22.97164
48,48,49.47832,22.97203
49,49,49.28503,22.97208
50,50,49.39853,22.97259
51,51,49.39867,22.97263
52,52,49.39841,22.97274
53,53,49.39825,22.97319
54,54,49.47778,22.97331
55,55,49.39925,22.97427
56,56,49.39821,22.97441
57,57,49.32624,22.97449
58,58,49.8011,22.97451
59,59,49.8012,22.975
60,60,49.32645,22.97558
61,61,49.47666,22.97561
62,62,49.47626,22.97593
63,63,49.28344,22.97684
64,64,49.39793,22.97709
65,65,49.24407,22.97711
66,66,49.24534,22.97722
67,67,49.2831,22.97761
68,68,49.47229,22.97765
69,69,49.24766,22.97777
70,70,49.24878,22.97797
71,71,49.4005,22.97805
72,72,49.24922,22.97803
73,73,49.39769,22.97808
74,74,49.28239,22.97808
75,75,49.80091,22.97811
76,76,49.23034,22.97816
77,77,49.32765,22.97841
78,78,49.40079,22.9785
79,79,49.40183,22.97856
80,80,49.39753,22.97878
81,81,49.40231,22.9788
82,82,49.28008,22.97891
83,83,49.23075,22.97901
84,84,49.46869,22.97904
85,85,49.25096,22.97913
86,86,49.39735,22.97936
87,87,49.24181,22.97936
88,88,49.40285,22.97961
89,89,49.23129,22.97974
90,90,49.23176,22.9799
91,91,49.25252,22.97994
92,92,49.46603,22.98005
93,93,49.23205,22.98005
94,94,49.39664,22.98015
95,95,49.40338,22.98026
96,96,49.27588,22.98039
97,97,49.46551,22.98046
98,98,49.25305,22.98054
